Car Name,Car Detail Link,Car Detail Link-href,Fuel Type,Current Color,Seat,Registration Date,Registration Type,Current Mileage,Spare Key,Service Book,Principal Warranty,Road Tax Exp Date,Car Location,Price
2015 Honda CR-V PRESTIGE 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/cr-v/2015-honda-cr-v-prestige-2.4/cg91000,Petrol,Gray,5,1/16/2022,Private,87.564 km,Yes,Yes,No,1/23/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          284.000.000"
2019 Mitsubishi XPANDER CROSS PREMIUM 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/xpander/2019-mitsubishi-xpander-cross-premium-1.5/cvr3000,Petrol,White,7,1/20/2022,Private,36.145 km,Yes,Yes,No,2/23/2022,"Carsome Tangerang Serang, Tangerang Selatan","Rp
          268.000.000"
2018 Toyota VELLFIRE G 2.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/vellfire/2018-toyota-vellfire-g-2.5/cqj4000,Petrol,Purple,7,6/19/2022,Company,67.483 km,Yes,Yes,No,7/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          999.000.000"
2013 Honda ACCORD VTI-L 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/accord/2013-honda-accord-vti-l-2.4/cw34000,Petrol,Gray,4,7/13/2022,Private,94.723 km,No,No,No,8/23/2022,"Carsome Bogor, Bogor","Rp
          237.000.000"
2018 Toyota FORTUNER VRZ TRD 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/fortuner/2018-toyota-fortuner-vrz-trd-2.4/cpi1000,Diesel,Black,7,4/18/2022,Private,54.848 km,Yes,Yes,No,4/22/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          430.000.000"
2019 Honda HR-V E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/hr-v/2019-honda-hr-v-e-1.5/cpg3000,Petrol,Black,4,6/19/2022,Private,18.433 km,No,Yes,No,6/22/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          291.000.000"
2017 Honda CR-V TURBO PRESTIGE 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/cr-v/2017-honda-cr-v-turbo-prestige-1.5/cdc3000,Petrol,Black,7,11/17/2022,Private,68.515 km,Yes,Yes,No,11/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          429.000.000"
2017 Mitsubishi PAJERO SPORT DAKAR 4X2 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/pajero-sport/2017-mitsubishi-pajero-sport-dakar-4x2-2.4/cl02000,Diesel,Black,7,6/17/2022,Private,58.607 km,No,Yes,No,7/22/2022,"Carsome Depok, Depok","Rp
          440.000.000"
2016 Suzuki KARIMUN GS 1.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/karimun/2016-suzuki-karimun-gs-1.0/c4t2000,Petrol,Black,5,9/16/2022,Private,124.268 km,No,No,No,11/22/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          89.000.000"
2015 Toyota FORTUNER G 2.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/fortuner/2015-toyota-fortuner-g-2.5/cev2000,Diesel,Black,7,8/15/2022,Private,128.189 km,Yes,Yes,No,8/23/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          311.000.000"
